,댓글번호,댓글내용,답글수,코사인유사도,유클리디언,norm유클,맨해튼,norm맨해
137,138,임기가 왤케 지루하냐? 하루가 1년 같다,0.0,0.0,1.4142135623730954,0.11772082292068604,12.01328301388036,0.9999999999999966
65,66,말로는 뭘못해 실천한게  한가지라도 있서면 답해봐라,0.0,0.0,1.4142135623730954,0.11772082292068604,12.01328301388036,0.9999999999999967
120,121,무능하고 거짓을 일삼는 부도덕한 대통령!!!,0.0,0.028491273971250158,1.3939216090073,0.11830485262531058,11.612447085687936,0.9855710910959359
135,136,태양열 전문가 노영민이 해먹고~~~  펀드는 장하성이 해먹고~~~,0.0,0.0,1.4142135623730954,0.11887017843841716,11.897126604430515,0.9999999999999971
73,74,"나대는 꺼붕,,,,,, 숨어버린 문재인,,,,,,,,",0.0,0.04318475119686774,1.383340340482509,0.11966733831797327,11.332581145531144,0.980337074161479
30,31,그냥 청와대에서 밥이나 쳐무라,0.0,0.04318475119686774,1.383340340482509,0.11966733831797327,11.332581145531153,0.980337074161479
95,96,재인아 제갈입좀 닥치고 가만히 있어줘~~,0.0,0.0,1.4142135623730954,0.11985001624839005,11.799861248596972,1.0000000000000007
89,90,이빨도   안좋고하니   제발  푹 쉬시다가  가세요,0.0,0.0,1.4142135623730954,0.11985001624839005,11.799861248596972,1.0000000000000007
96,97,이사람을 보면 창귈영화에 장동건 보는것같네!,0.0,0.0,1.4142135623730954,0.11985001624839005,11.799861248596972,1.0000000000000004
85,86,일 하지마라~얼마나 말아 처묵처묵 하려고,0.0,0.0,1.4142135623730954,0.11985001624839005,11.799861248596972,1.0000000000000007
63,64,무능한 인간아 그냥 찌그러져 있어.,0.0,0.0,1.4142135623730954,0.11985001624839005,11.799861248596972,1.0000000000000007
8,9,이 넘이 얘기하는거는 전혀 공감이 안되,0.0,0.0,1.4142135623730954,0.11985001624839005,11.799861248596972,1.0000000000000007
80,81,아가릴를 찢어버린다......닥쳐라!!!...개!~놈씨키야!!!........ㅉㅉㅉ,0.0,0.0,1.4142135623730954,0.11985001624839005,11.799861248596972,1.0000000000000009
79,80,지업적 세울려고 대도안한 기구들만 쳐만들고있네,0.0,0.0,1.4142135623730954,0.11985001624839005,11.799861248596972,1.0000000000000009
75,76,그냥 내려오시죠..아님 제발 좀 가만있던가,0.0,0.0,1.4142135623730954,0.11985001624839005,11.799861248596972,1.0000000000000009
56,57,짱깨한테 나라를 넘겨라 그냥 ㅇㅇ,0.0,0.0,1.4142135623730954,0.11985001624839005,11.799861248596972,1.0000000000000009
83,84,빨리 백신이나 수입해서 맞게 해달라구~~,0.0,0.0,1.4142135623730954,0.11985001624839005,11.799861248596972,1.0000000000000007
26,27,한번도 경험하지못한나라를 경험하고 있다 퉷,0.0,0.03229967507715575,1.3911867774837745,0.1205003451930155,11.375077441781343,0.9852744293696507
99,100,앞으로 대통령 뽑지 말자,0.0,0.03229967507715575,1.3911867774837745,0.1205003451930155,11.375077441781352,0.985274429369651
74,75,"그냥 장기 휴가 내라,,졸지말고 그냥 자",0.0,0.0,1.4142135623730954,0.12102694154374541,11.68511361465682,0.9999999999999964
112,113,아무것도 안하면 정말 좋을텐데,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999982
106,107,임기내에 본인이 싼 똥이나 치우길,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999977
133,134,더 늦기 전에 꺼져 주세요.,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999979
105,106,탄소 줄인다는놈이 탈원전 ㅋㅋㅋㅋㅋ,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999986
134,135,이사람 이야기는 기사쓰지마라 구토나온다,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.999999999999998
124,125,좀 가만이 있어. 아무것도 하지말란니까...!,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999983
103,104,그냥 가만히 계시지 ㅎㅎㅎ,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999976
70,71,ㅋㅋㅋㅋㅋㅋㅋ 댓글알바들 ㅂㄷㅂㄷ 귀엽네,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999976
82,83,응 그전에 니 탄핵되서 감빵행 ㅅㄱ,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999977
31,32,제발 아무것도하지마라 입도 뻥끗하지마,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999982
90,91,에궁~ 답이없다~ 대한국민이 불쌍타!,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999977
55,56,"미친말 한마리 또 납시요,여기~~~",0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999979
27,28,또 어떤 놈들 챙겨주고 싶어서?,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999983
140,141,그럼 원전 제가동 인가요,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999986
86,87,문무능이  임기내 탄핵기틀이나 만들자,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999977
6,7,우롸질30년을~바로앞일도처리못하.면서  무슨~,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999973
49,50,저런 인간을 대통령이라고  .   .. 속터지네,0.0,0.0,1.4142135623730954,0.12229668320929035,11.56379327109718,0.9999999999999979
67,68,ㅋㅋㅋㅋ  그들만의 정부와 그들만의  리그,0.0,0.0,1.4142135623730954,0.12347311166182032,11.453615636143317,1.0000000000000018
92,93,원전없는 탄소중립은 불가능하다,0.0,0.025419544484035845,1.3961235300043933,0.12389569691860003,11.155421879026678,0.9899616605692946
33,34,헛소리의 달인   문무능,0.0,0.0,1.4142135623730954,0.1251976879748239,11.29584407866606,1.0000000000000009
68,69,헛소리말구 애미추나 해결해라,0.0,0.0,1.4142135623730954,0.1251976879748239,11.29584407866606,1.0000000000000007
58,59,탄소세 조만간 또 신설하겠구만..,0.0,0.0,1.4142135623730954,0.1251976879748239,11.29584407866606,1.0000000000000007
111,112,앵무새...저런게 대통령이라니...,0.0,0.0,1.4142135623730954,0.1251976879748239,11.29584407866606,1.0000000000000007
110,111,임기때까지 닥치고 있어라,0.0,0.0,1.4142135623730954,0.1251976879748239,11.29584407866606,1.0000000000000007
4,5,야 진짜 언제끝냐냐 미치겠다,0.0,0.0,1.4142135623730954,0.1251976879748239,11.29584407866606,1.0000000000000007
108,109,"뭐하세요!!!!, 뭐하냐고요!!! 걍 쉬세요",0.0,0.0,1.4142135623730954,0.1251976879748239,11.29584407866606,1.0000000000000009
107,108,부동산도 못 잡으면서 뭘 한다고?,0.0,0.0,1.4142135623730954,0.1251976879748239,11.29584407866606,1.0000000000000007
138,139,나랏돈 많이 빠지네,0.0,0.0,1.4142135623730954,0.1251976879748239,11.29584407866606,1.0000000000000007
18,19,"붕어,뇌가없는붕어.",0.0,0.0,1.4142135623730954,0.12882243414727823,10.978006833470277,0.999999999999996
22,23,더늦기전에 꺼져줄래!!,0.0,0.0,1.4142135623730954,0.12882243414727823,10.978006833470277,0.9999999999999958
2,3,아무것도 하지마라,0.0,0.0,1.4142135623730954,0.12882243414727823,10.978006833470277,0.9999999999999966
129,130,문어벙이가한다면 왜이리불안한걸꺄,0.0,0.0,1.4142135623730954,0.12882243414727823,10.978006833470277,0.9999999999999962
15,16,면상보기만해도 토나와..,0.0,0.0,1.4142135623730954,0.12882243414727823,10.978006833470277,0.9999999999999961
128,129,적당히해라 제발,0.0,0.0,1.4142135623730954,0.12882243414727823,10.978006833470277,0.9999999999999969
141,142,잘하는 일입니다.,0.0,0.0,1.4142135623730954,0.12882243414727823,10.978006833470277,0.9999999999999968
72,73,개소리  멍멍~,0.0,0.0,1.4142135623730954,0.12882243414727823,10.978006833470277,0.9999999999999959
113,114,백신은 임기후?,0.0,0.0,1.4142135623730954,0.12882243414727823,10.978006833470277,0.9999999999999962
